SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Potholes,621.0,299.0,152.0,136.0,108.0,236.0,690.0,2299.0,4275.0,5868.0,6316.0,6401.0,6595.0,6600.0,6594.0,6496.0,5601.0,4759.0,4219.0,3841.0,3493.0,3116.0,2411.0,1315.0
Property Damage,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,
Protected Trees,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
Public Toilets,3.0,1.0,,,,,5.0,2.0,3.0,8.0,7.0,13.0,12.0,15.0,9.0,12.0,9.0,12.0,4.0,7.0,2.0,1.0,3.0,1.0
Recycling,6.0,,,,,,3.0,2.0,8.0,19.0,7.0,12.0,9.0,11.0,5.0,6.0,8.0,5.0,7.0,,5.0,4.0,4.0,2.0
Retaining Wall,,1.0,,,,,,2.0,6.0,7.0,5.0,12.0,3.0,6.0,8.0,5.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0
Right of Way,18.0,13.0,1.0,1.0,3.0,,20.0,42.0,81.0,153.0,262.0,209.0,192.0,186.0,187.0,230.0,200.0,131.0,136.0,122.0,103.0,78.0,70.0,53.0
Road Markings,39.0,12.0,12.0,11.0,7.0,12.0,40.0,104.0,210.0,397.0,451.0,483.0,491.0,461.0,419.0,440.0,322.0,260.0,197.0,170.0,196.0,217.0,154.0,116.0
Road Safety,1.0,,,1.0,,,3.0,3.0,6.0,15.0,19.0,20.0,17.0,18.0,14.0,13.0,9.0,8.0,4.0,4.0,3.0,5.0,4.0,
Road Surface Defects,128.0,60.0,27.0,22.0,11.0,41.0,157.0,510.0,956.0,1649.0,1826.0,1849.0,1745.0,1746.0,1702.0,1759.0,1623.0,1106.0,918.0,836.0,808.0,699.0,519.0,267.0
Road Works,8.0,9.0,8.0,11.0,7.0,11.0,17.0,46.0,131.0,204.0,242.0,229.0,200.0,169.0,213.0,224.0,186.0,125.0,81.0,55.0,67.0,51.0,54.0,34.0
Road/Pavement Defects,10.0,3.0,,3.0,,8.0,6.0,20.0,36.0,58.0,84.0,67.0,70.0,69.0,56.0,52.0,42.0,52.0,22.0,23.0,22.0,29.0,15.0,7.0
Rubbish,63.0,41.0,18.0,15.0,13.0,20.0,98.0,302.0,604.0,799.0,801.0,826.0,764.0,832.0,753.0,760.0,646.0,584.0,507.0,450.0,408.0,348.0,249.0,163.0
Salt Bins,,,,,,,,,,3.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,,,,,,
Shopping Trolley,5.0,,,,1.0,,3.0,9.0,15.0,19.0,20.0,19.0,14.0,12.0,19.0,19.0,17.0,13.0,11.0,9.0,6.0,6.0,1.0,3.0
Skips,,,,,,,,,,2.0,1.0,,,2.0,,,1.0,,1.0,1.0,,,,
Spillage on Road,4.0,2.0,2.0,,,3.0,3.0,10.0,26.0,47.0,30.0,32.0,37.0,32.0,30.0,36.0,38.0,15.0,8.0,7.0,10.0,8.0,3.0,4.0
Street Cleaning,183.0,65.0,38.0,23.0,27.0,70.0,219.0,694.0,1426.0,1960.0,1968.0,1861.0,1711.0,1666.0,1604.0,1539.0,1391.0,1032.0,943.0,792.0,695.0,645.0,408.0,333.0
Street Furniture,15.0,3.0,6.0,,1.0,3.0,15.0,27.0,69.0,154.0,161.0,157.0,171.0,155.0,159.0,150.0,146.0,63.0,57.0,38.0,41.0,46.0,32.0,19.0
