SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Parking,654.0,309.0,158.0,96.0,85.0,174.0,435.0,1289.0,2581.0,3792.0,3809.0,3799.0,3847.0,3913.0,3768.0,4231.0,4004.0,3574.0,3288.0,3200.0,2978.0,2517.0,1972.0,1120.0
Pavement /Footway Defects,1345.0,568.0,290.0,201.0,163.0,320.0,1059.0,3008.0,6586.0,10843.0,11915.0,12118.0,11960.0,11377.0,11831.0,11447.0,10809.0,8623.0,7282.0,6854.0,6622.0,5605.0,4664.0,2728.0
Pest Control,,,,,,,1.0,,1.0,3.0,4.0,3.0,1.0,4.0,3.0,5.0,6.0,1.0,1.0,4.0,3.0,5.0,1.0,
Phoenix HA,1.0,,,,,,,,11.0,8.0,8.0,13.0,4.0,1.0,7.0,4.0,3.0,6.0,4.0,2.0,3.0,1.0,1.0,5.0
Potholes,3951.0,1660.0,930.0,644.0,596.0,1114.0,3375.0,10836.0,22907.0,29862.0,31635.0,32821.0,32436.0,33287.0,33540.0,33315.0,31452.0,26960.0,23924.0,22713.0,21962.0,19783.0,15707.0,8692.0
Property Damage,3.0,2.0,1.0,,,1.0,1.0,5.0,11.0,18.0,28.0,26.0,24.0,23.0,24.0,27.0,40.0,22.0,17.0,10.0,12.0,12.0,5.0,12.0
Protected Trees,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,
Public Toilets,17.0,6.0,1.0,1.0,2.0,6.0,8.0,21.0,36.0,58.0,82.0,76.0,64.0,99.0,79.0,102.0,70.0,68.0,69.0,60.0,54.0,47.0,33.0,31.0
Recycling,11.0,2.0,2.0,1.0,1.0,2.0,8.0,29.0,61.0,124.0,99.0,74.0,74.0,70.0,59.0,47.0,50.0,47.0,50.0,38.0,36.0,29.0,21.0,17.0
Retaining Wall,1.0,1.0,,,,,2.0,4.0,14.0,29.0,17.0,28.0,22.0,26.0,23.0,14.0,26.0,21.0,14.0,15.0,5.0,7.0,3.0,5.0
Right of Way,169.0,39.0,7.0,5.0,5.0,8.0,56.0,151.0,305.0,607.0,817.0,753.0,662.0,597.0,622.0,763.0,714.0,661.0,615.0,591.0,420.0,298.0,261.0,298.0
